Gamma_IG3PS,Gamma_TPI,Gamma_PHETRA,Gamma_ALATA_L,sigma_km_product2_AKGMAL,sigma_km_product2_ALCD26xi,sigma_km_product1_CHORS,sigma_km_product2_GF6PTA,sigma_km_substrate1_GLUDy,sigma_km_product2_GLUDy,sigma_km_product2_HSTPT,sigma_km_product1_ICDHxm,sigma_km_substrate2_ICDHxm,sigma_km_substrate18_LMPD_s_0450_c_1_256,sigma_km_substrate2_MALS,sigma_km_product2_PRFGS,sigma_km_product2_SUCFUMtm
1.26e-22,0.607919347,518.6546207,0.184974206,0.751122397,0.937246191,0.439751338,0.408896544,0.73136445,0.113282365,0.981030885,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
8.09e-23,0.552941233,571.8356192,0.196160656,0.464924379,0.420920024,0.473994051,0.773418168,0.332926857,0.064132298,0.312405244,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
9.08e-23,0.562126348,492.5631516,0.19055248,0.300923131,0.504087782,0.202969573,0.115010706,0.572314258,0.107843355,0.028163632,0.502294146,0.397237714,0.186371628,0.26448294,0.823662123,0.717098089
7.94e-25,0.886637848,130.0549841,0.917827364,0.859787392,0.76984784,0.390194718,0.36422933,0.979937125,0.892543987,0.740762581,0.304925517,0.753471712,0.624774001,0.424973013,0.539945298,0.904785394
9.08e-23,0.562126348,492.5631516,0.19055248,0.249252917,0.099377604,0.468015249,0.633041727,0.116798378,0.13090706,0.569778724,0.442317379,0.130078278,0.302812201,0.647584777,0.393914536,0.324456536
9.91e-23,0.566747316,535.2956698,0.184019478,0.236324942,0.479953584,0.126896083,0.277498013,0.56815381,0.02446824,0.500181765,0.10217113,0.633169411,0.771981765,0.706503361,0.399919835,0.044322552
1.7e-24,0.898605347,131.1201895,0.835494255,0.142299732,0.052869174,0.995889589,0.082702139,0.024764195,0.431243639,0.26063034,0.673526336,0.709024046,0.827184339,0.553221202,0.518185272,0.421942529
4.4e-23,0.569605706,476.6489228,0.216887371,0.980831437,0.93069211,0.116060757,0.022348351,0.575509203,0.230992474,0.870742037,0.770054872,0.688254694,0.868634439,0.665581921,0.115895376,0.862622323
1.7e-24,0.898605347,131.1201895,0.835494255,0.52703285,0.537878572,0.769964332,0.791146824,0.111086062,0.312526117,0.199399951,0.052519194,0.600645069,0.877394093,0.64763908,0.324557243,0.646961431
2.25e-24,0.673232482,192.73754,0.398161301,0.174131374,0.488190884,0.886016516,0.771966292,0.531039132,0.207383263,0.746450144,0.46874061,0.342680342,0.942906787,0.861646917,0.49490946,0.042853473
2.25e-24,0.673232482,192.73754,0.398161301,0.661292576,0.25829043,0.214669524,0.218618831,0.843961432,0.080589189,0.060180379,0.253060083,0.229545411,0.312793828,0.162032273,0.125696431,0.408878886
1.7e-24,0.898605347,131.1201895,0.835494255,0.683282945,0.318054254,0.586778263,0.804710859,0.757778395,0.085522924,0.559337368,0.883025331,0.20754486,0.443384599,0.116884127,0.469812757,0.733765278
1.7e-24,0.898605347,131.1201895,0.835494255,0.937028244,0.914069636,0.267789455,0.676650615,0.000136101,0.156867852,0.636267947,0.485128092,0.806235416,0.048430407,0.221224595,0.805429846,0.952161346
1.7e-24,0.898605347,131.1201895,0.835494255,0.966513009,0.243910542,0.463539698,0.313137313,0.832323086,0.585541782,0.352326763,0.135219898,0.975238259,0.845467337,0.098544224,0.025849423,0.015210106
1.7e-24,0.898605347,131.1201895,0.835494255,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359806,0.887131366,0.924196422,0.735741944,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.193585035,0.546548017,0.377664782,0.114418631,0.024959941,0.82679098,0.385458959,0.628375287,0.189925601,0.138319337,0.811997865,0.435240418,0.895984791
7.94e-25,0.886637848,130.0549841,0.917827364,0.259536494,0.200764973,0.3179553,0.171084351,0.738628588,0.040328316,0.702544815,0.148492513,0.310818495,0.392742198,0.749461169,0.019405633,0.821107073
1.7e-24,0.898605347,131.1201895,0.835494255,0.686389824,0.496920943,0.960362237,0.012131788,0.607424579,0.343767663,0.792961466,0.505969882,0.07219875,0.321549591,0.499858444,0.53855143,0.253592368
1.13e-22,0.579390992,498.3899372,0.161445099,0.221426563,0.735915102,0.112447057,0.480764841,0.948238756,0.897308833,0.704355766,0.988859285,0.73937104,0.916846469,0.574328065,0.173086177,0.974612635
1.7e-24,0.898605347,131.1201895,0.835494255,0.451577776,0.189451342,0.927966621,0.453213871,0.103833417,0.076771772,0.893702593,0.24095726,0.009664837,0.043171326,0.813536516,0.324407464,0.124184917
7.94e-25,0.886637848,130.0549841,0.917827364,0.727548356,0.185651329,0.338071552,0.695254614,0.152027639,0.40397394,0.563625118,0.539248785,0.802027726,0.37402025,0.307802562,0.858804999,0.736688561
1.26e-22,0.607919347,518.6546207,0.184974206,0.464924379,0.420920024,0.473993943,0.773418168,0.332926857,0.064132298,0.312405245,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
6.19e-24,0.674245354,154.5159073,0.331779288,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359825,0.887131365,0.924196422,0.735741945,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.979424334,0.143284497,0.61735807,0.878899665,0.217530281,0.529777122,0.203725606,0.237361781,0.049604819,0.117911799,0.494286678,0.729765911,0.511887403
1.26e-22,0.607919347,518.6546207,0.184974206,0.427736447,0.713211822,0.645401853,0.611075971,0.033375883,0.58702469,0.225057006,0.506560113,0.545726609,0.571264752,0.563959195,0.639797781,0.945026657
6.19e-24,0.674245354,154.5159073,0.331779288,0.40398185,0.884627649,0.995145801,0.141482036,0.044785225,0.263089935,0.762902593,0.180442344,0.556866632,0.606905338,0.885426273,0.100941386,0.408419421
7.94e-25,0.886637848,130.0549841,0.917827364,0.173877057,0.544914614,0.616643781,0.909299468,0.251146049,0.514890866,0.732753363,0.247574135,0.340985432,0.085724629,0.660141879,0.342580514,0.819353837
9.91e-23,0.566747316,535.2956698,0.184019478,0.08222148,0.735965057,0.023036475,0.877105831,0.855098843,0.71962281,0.849349391,0.628027524,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
7.94e-25,0.886637848,130.0549841,0.917827364,0.724116845,0.402836377,0.526397196,0.658833515,0.561878198,0.17749248,0.389206411,0.91403794,0.606778285,0.241325554,0.294591771,0.859357023,0.07952645
6.19e-24,0.674245354,154.5159073,0.331779288,0.726712921,0.819606535,0.492000121,0.355389839,0.537789561,0.401240829,0.818230464,0.996452923,0.145452819,0.462741288,0.174723351,0.476752671,0.835731119
9.08e-23,0.562126348,492.5631516,0.19055248,0.08222148,0.735965057,0.023036475,0.87710583,0.855098843,0.71962281,0.849349399,0.628027524,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
1.13e-22,0.579390992,498.3899372,0.161445099,0.464924379,0.420920024,0.473994123,0.773418168,0.332926857,0.064132298,0.312405245,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
1.7e-24,0.898605347,131.1201895,0.835494255,0.868630925,0.387301793,0.38527944,0.066282757,0.384189732,0.292923956,0.455893358,0.933859076,0.811538753,0.848814649,0.992210923,0.064312355,0.038041361
1.13e-22,0.579390992,498.3899372,0.161445099,0.08222148,0.735965057,0.023036475,0.877105831,0.855098843,0.71962281,0.849349393,0.628027525,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
7.94e-25,0.886637848,130.0549841,0.917827364,0.059439474,0.541872046,0.743016446,0.739500147,0.556647157,0.281875623,0.1988583,0.435586305,0.093781136,0.478701436,0.866034346,0.686073445,0.419385318
7.94e-25,0.886637848,130.0549841,0.917827364,0.187950054,0.630513291,0.43069696,0.259374881,0.375923077,0.909925541,0.280172509,0.00295785,0.151643573,0.62579616,0.833866861,0.895815703,0.75634172
2.28e-27,0.94997959,317.8433877,0.809197002,0.158471433,0.586667382,0.961457311,0.950496103,0.68736093,0.812553261,0.16783643,0.085389394,0.834829261,0.588371957,0.078560545,0.438000363,0.531130469
1.7e-24,0.898605347,131.1201895,0.835494255,0.610487943,0.234088939,0.027934048,0.432831132,0.895963965,0.010513846,0.151975316,0.211859634,0.747164365,0.547146367,0.786237363,0.730377511,0.363515067
7.94e-25,0.886637848,130.0549841,0.917827364,0.980831437,0.93069211,0.116060747,0.022348351,0.575509203,0.230992474,0.870742022,0.770054873,0.688254694,0.868634439,0.665581921,0.115895376,0.862622323
1.26e-22,0.607919347,518.6546207,0.184974206,0.08222148,0.735965057,0.023036475,0.87710583,0.855098843,0.71962281,0.849349394,0.628027524,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
8.18e-24,0.445421964,228.4909627,0.278383448,0.080518015,0.416601186,0.836648245,0.311841634,0.393527192,0.825773452,0.254370669,0.602146469,0.02279411,0.414682795,0.34144713,0.7258384,0.135044348
1.7e-24,0.898605347,131.1201895,0.835494255,0.50392314,0.065618302,0.253554761,0.202599104,0.980734583,0.289478813,0.729211212,0.722721585,0.164827688,0.100801887,0.892417189,0.644120225,0.402392149
7.94e-25,0.886637848,130.0549841,0.917827364,0.295871892,0.251198788,0.952973815,0.251738721,0.854596211,0.402098812,0.107734447,0.395977495,0.095231686,0.334541874,0.063742742,0.672215867,0.246099761
6.19e-24,0.674245354,154.5159073,0.331779288,0.18368497,0.772611169,0.261740867,0.425607411,0.070494684,0.208311822,0.290192573,0.547652683,0.387901415,0.560406265,0.368937247,0.245950878,0.491491833
1.7e-24,0.898605347,131.1201895,0.835494255,0.006827796,0.446871945,0.307008445,0.856189892,0.439532189,0.09510788,0.520931433,0.298873074,0.947976663,0.264633087,0.511982611,0.472192807,0.695528113
1.7e-24,0.898605347,131.1201895,0.835494255,0.464924379,0.420920024,0.473994231,0.773418168,0.332926857,0.064132298,0.312405247,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
1.7e-24,0.898605347,131.1201895,0.835494255,0.12116656,0.852443836,0.571392366,0.227056152,0.448347823,0.318832081,0.081251283,0.452997455,0.349259,0.483767805,0.555272087,0.487333551,0.043380295
1.13e-22,0.562470002,434.9604729,0.219347189,0.980831437,0.93069211,0.116060758,0.022348351,0.575509203,0.230992474,0.870742037,0.770054873,0.688254694,0.868634439,0.665581921,0.115895376,0.862622323
9.08e-23,0.562126348,492.5631516,0.19055248,0.382990591,0.111212811,0.627022985,0.741295722,0.568642831,0.276408517,0.188803708,0.23743002,0.138321406,0.120381097,0.591569548,0.581701498,0.150561903
7.94e-25,0.886637848,130.0549841,0.917827364,0.267859284,0.885068918,0.506049705,0.704626078,0.99806273,0.907301281,0.243093674,0.868467984,0.35698522,0.057691664,0.895550567,0.121250251,0.566094364
7.94e-25,0.886637848,130.0549841,0.917827364,0.382990591,0.111212811,0.627042541,0.741295722,0.568642831,0.276408517,0.188803706,0.23743002,0.138321406,0.120381097,0.591569548,0.581701498,0.150561903
9.91e-23,0.566747316,535.2956698,0.184019478,0.464924379,0.420920024,0.473994049,0.773418168,0.332926857,0.064132298,0.312405244,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
8.18e-24,0.445421964,228.4909627,0.278383448,0.987339919,0.918821702,0.057248343,0.007174633,0.832892516,0.16209799,0.888862594,0.922172389,0.573168192,0.777528232,0.522325846,0.118647896,0.024890056
7.94e-25,0.886637848,130.0549841,0.917827364,0.881661873,0.961619271,0.289439881,0.966304419,0.831563324,0.860052616,0.688966865,0.246510893,0.836620935,0.6730123,0.073106663,0.681902062,0.778602325
7.94e-25,0.886637848,130.0549841,0.917827364,0.20530969,0.808849478,0.303594412,0.873186801,0.636202739,0.804721175,0.192363736,0.392921932,0.425385596,0.57077634,0.568784585,0.89054727,0.234867842
6.19e-24,0.674245354,154.5159073,0.331779288,0.818897119,0.811834054,0.195761268,0.057109741,0.563940677,0.413894872,0.364239904,0.726104095,0.160161653,0.376121938,0.797561592,0.959853815,0.677920773
1.7e-24,0.898605347,131.1201895,0.835494255,0.221426563,0.735915102,0.112447066,0.480764841,0.948238756,0.897308833,0.704355749,0.988859285,0.73937104,0.916846469,0.574328065,0.173086177,0.974612635
9.91e-23,0.566747316,535.2956698,0.184019478,0.987339919,0.918821702,0.057248344,0.007174633,0.832892516,0.16209799,0.888862592,0.922172388,0.573168192,0.777528232,0.522325846,0.118647896,0.024890056
7.94e-25,0.886637848,130.0549841,0.917827364,0.94263091,0.800389407,0.450064255,0.62943127,0.776166958,0.910545972,0.773647709,0.61879245,0.014525224,0.783723446,0.570674583,0.288055149,0.290221013
7.94e-25,0.886637848,130.0549841,0.917827364,0.879432161,0.838423845,0.120734184,0.373343716,0.959931637,0.043445009,0.543933874,0.43851449,0.07365367,0.230142379,0.956984916,0.520655003,0.522766082
7.94e-25,0.886637848,130.0549841,0.917827364,0.24033991,0.112512696,0.858284607,0.187182913,0.49390007,0.700159504,0.451364266,0.700611803,0.0859535,0.374392,0.396714037,0.973078448,0.694995528
1.26e-22,0.607919347,518.6546207,0.184974206,0.489514333,0.683982228,0.930715186,0.200582169,0.812468303,0.758704605,0.778818269,0.115188029,0.653610347,0.103782899,0.409806619,0.022861322,0.889451117
5.77e-23,0.586895853,540.8315503,0.196221528,0.843111718,0.984475402,0.12569069,0.999053302,0.323766424,0.183637847,0.392934879,0.621577207,0.570108065,0.82936904,0.476945349,0.735173698,0.559964776
7.94e-25,0.886637848,130.0549841,0.917827364,0.793094979,0.295157669,0.248547552,0.239733206,0.498741888,0.694698547,0.52013302,0.98831647,0.898578603,0.632287117,0.411036662,0.996479809,0.245362825
7.94e-25,0.886637848,130.0549841,0.917827364,0.08222148,0.735965057,0.023036475,0.87710583,0.855098843,0.71962281,0.849349415,0.628027524,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
9.91e-23,0.566747316,535.2956698,0.184019478,0.751122397,0.937246191,0.439751191,0.408896544,0.73136445,0.113282365,0.981030876,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
6.19e-24,0.674245354,154.5159073,0.331779288,0.987339919,0.918821702,0.057248343,0.007174633,0.832892516,0.16209799,0.888862593,0.922172388,0.573168192,0.777528232,0.522325846,0.118647896,0.024890056
1.13e-22,0.579390992,498.3899372,0.161445099,0.751122397,0.937246191,0.439751253,0.408896544,0.73136445,0.113282365,0.981030883,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
1.26e-22,0.607919347,518.6546207,0.184974206,0.382990591,0.111212811,0.627022908,0.741295722,0.568642831,0.276408517,0.188803708,0.23743002,0.138321406,0.120381097,0.591569548,0.581701498,0.150561903
1.7e-24,0.898605347,131.1201895,0.835494255,0.11994632,0.147654832,0.000416773,0.987347838,0.604597644,0.914029319,0.92457047,0.019308844,0.291437075,0.542061929,0.535835432,0.244398799,0.962828545
1.7e-24,0.898605347,131.1201895,0.835494255,0.212390626,0.367260313,0.627583102,0.53863036,0.666135795,0.725278948,0.703117321,0.202028256,0.002889865,0.230885873,0.152528076,0.131064614,0.499796156
